Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Utah,Pac-12,5-Sep,9.2 (0.2),87.30%,16.8,17,31.9,45,18.1,19,3,1,0.887,38,2018
Central Florida,AAC,1-Dec,10.6 (-1.4),86.70%,16.5,18,39.9,11,25.2,47,1.8,10,0.954,107,2018
Wisconsin,Big Ten,5-Aug,8.7 (0.7),85.00%,15.5,19,39.3,12,21.6,29,-2.3,125,0.899,50,2018
South Carolina,SEC,6-Jul,5.8 (-1.2),84.00%,14.9,20,36.4,21,23.6,40,2,7,0.788,7,2018
Utah State,MWC,2-Nov,10.0 (-1.0),82.70%,14.2,21,36.3,22,22.5,35,0.4,55,0.956,110,2018
Oklahoma State,Big 12,6-Jul,7.6 (0.6),82.10%,13.8,22,42,7,28.9,71,0.7,42,0.892,46,2018
Iowa,Big Ten,4-Sep,8.8 (-0.2),81.00%,13.3,23,30.3,54,17.7,18,0.7,44,0.911,62,2018
West Virginia,Big 12,4-Aug,7.5 (-0.5),80.80%,13.2,24,41.1,9,29.2,76,1.3,18,0.888,39,2018
Kentucky,SEC,3-Oct,7.8 (-2.2),80.50%,13.1,25,29.5,64,16.3,15,-0.1,72,0.806,12,2018
Stanford,Pac-12,4-Sep,8.4 (-0.6),80.40%,13,26,35.4,26,24.3,43,1.8,8,0.877,33,2018
Miami-FL,ACC,6-Jul,8.8 (1.8),79.80%,12.7,27,29.3,66,15.8,14,-0.8,97,0.922,72,2018
Boise State,MWC,3-Oct,8.9 (-1.1),78.80%,12.2,28,37.1,18,22.8,38,-2,121,0.905,56,2018
Appalachian State,Sun Belt,2-Nov,11.0 (0.0),78.00%,11.9,29,30,56,19,20,1,34,0.961,116,2018
Michigan State,Big Ten,6-Jul,7.5 (0.5),77.10%,11.5,30,22,112,10.8,2,0.3,61,0.867,28,2018
Washington State,Pac-12,2-Nov,9.7 (-1.3),76.80%,11.3,31,38.8,13,27.3,59,-0.2,74,0.903,53,2018
Texas,Big 12,4-Oct,8.3 (-1.7),76.60%,11.3,32,35.3,27,24.4,44,0.4,59,0.865,24,2018
Ole Miss,SEC,7-May,5.9 (0.9),73.20%,9.8,33,42.1,6,31.2,90,-1.2,103,0.786,6,2018
USC,Pac-12,7-May,7.0 (2.0),72.90%,9.7,34,31.7,46,22.5,34,0.5,50,0.892,44,2018
NC State,ACC,4-Sep,8.3 (-0.7),72.20%,9.4,35,35.1,29,26.7,54,1.1,27,0.917,65,2018
Memphis,AAC,6-Aug,9.6 (1.6),71.60%,9.2,36,38.8,14,30.5,87,0.8,39,0.931,80,2018
Texas Tech,Big 12,7-May,6.2 (1.2),70.40%,8.7,37,36.2,23,29.8,81,2.4,6,0.885,36,2018
Iowa State,Big 12,5-Aug,8.1 (0.1),68.50%,7.9,38,29.9,59,21.5,28,-0.4,83,0.885,37,2018
Vanderbilt,SEC,7-Jun,7.1 (1.1),67.60%,7.6,39,35.6,24,27.1,57,-0.9,100,0.812,13,2018
Syracuse,ACC,3-Oct,8.5 (-1.5),67.40%,7.5,40,32.1,44,27.4,60,2.8,2,0.898,49,2018
Oregon,Pac-12,4-Sep,7.6 (-1.4),66.70%,7.3,41,34.7,31,25.8,50,-1.7,111,0.909,59,2018
Virginia,ACC,5-Aug,8.9 (0.9),66.40%,7.1,42,29.7,62,22,31,-0.6,93,0.941,88,2018
TCU,Big 12,6-Jul,7.1 (0.1),65.80%,6.9,43,25.7,91,16.9,16,-1.8,115,0.865,25,2018
Purdue,Big Ten,7-Jun,7.5 (1.5),64.50%,6.5,44,37.2,17,30.8,88,0,67,0.867,27,2018
Minnesota,Big Ten,6-Jul,6.9 (-0.1),64.10%,6.3,45,28.2,75,22.8,39,1,31,0.884,35,2018
BYU,Ind,6-Jul,8.1 (1.1),63.80%,6.2,46,28.9,72,22.3,33,-0.4,86,0.896,47,2018
San Diego State,MWC,6-Jul,7.6 (0.6),63.30%,6,47,25.6,92,21,24,1.4,16,0.934,83,2018
Tennessee,SEC,7-May,4.3 (-0.7),61.70%,5.5,48,33.4,38,28.9,72,1,30,0.759,2,2018
Nebraska,Big Ten,8-Apr,6.7 (2.7),61.60%,5.4,49,32.7,42,26.9,55,-0.4,80,0.868,30,2018
Cincinnati,AAC,2-Nov,9.6 (-1.4),61.40%,5.4,50,28.3,74,22.6,36,-0.4,82,0.955,108,2018
Duke,ACC,5-Aug,6.8 (-1.2),60.50%,5,51,30.5,52,25,46,-0.5,87,0.901,52,2018
Arizona State,Pac-12,6-Jul,6.3 (-0.7),60.50%,5,52,33.9,35,30.4,86,1.5,14,0.892,45,2018
Arkansas,SEC,10-Feb,3.4 (1.4),58.80%,4.5,53,29.7,61,25.7,49,0.5,52,0.777,5,2018
Ohio,MAC,4-Sep,8.9 (-0.1),57.60%,4,54,38.2,16,35,107,0.8,40,0.974,127,2018
Virginia Tech,ACC,7-Jun,5.7 (-0.3),57.20%,3.9,55,32.8,41,29.4,77,0.4,57,0.921,71,2018
California,Pac-12,6-Jul,6.5 (-0.5),57.10%,3.9,56,18.3,118,15.6,13,1.2,25,0.909,58,2018
Wake Forest,ACC,6-Jul,7.4 (0.4),56.40%,3.6,57,31.2,48,28.1,64,0.5,49,0.89,42,2018
Arizona,Pac-12,7-May,5.3 (0.3),56.20%,3.6,58,32.3,43,29,74,0.3,63,0.918,67,2018
Maryland,Big Ten,7-May,5.3 (0.3),54.60%,3,59,27.6,80,25.9,51,1.3,21,0.861,20,2018
Temple,AAC,5-Aug,8.5 (0.5),54.40%,2.9,60,28.1,76,23.9,42,-1.3,106,0.951,102,2018
Pittsburgh,ACC,7-Jul,6.8 (-0.2),53.80%,2.7,61,29,71,26.6,53,0.4,60,0.849,17,2018
Troy,Sun Belt,3-Oct,8.8 (-1.2),53.40%,2.6,62,26.4,89,25.6,48,1.8,9,0.961,115,2018
Boston College,ACC,5-Jul,6.2 (-0.8),52.90%,2.4,63,26.5,88,22.1,32,-1.9,118,0.896,48,2018
Houston,AAC,5-Aug,8.1 (0.1),52.60%,2.3,64,36.7,20,34.9,106,0.6,47,0.961,113,2018
North Texas,C-USA,4-Sep,9.8 (0.8),51.90%,2.1,65,29.2,67,29.5,78,2.4,5,0.981,130,2018
Toledo,MAC,6-Jul,7.1 (0.1),51.60%,2,66,35.2,28,34.4,102,1.1,26,0.953,106,2018
Baylor,Big 12,6-Jul,6.9 (-0.1),51.50%,2,67,33.1,39,30.3,85,-0.8,99,0.889,41,2018
Northwestern,Big Ten,5-Sep,6.2 (-2.8),51.40%,1.9,68,25.5,94,21.6,30,-2,120,0.854,19,2018
Wyoming,MWC,6-Jun,6.3 (0.3),51.20%,1.9,69,25.1,95,23.7,41,0.4,56,0.907,57,2018
Indiana,Big Ten,7-May,4.7 (-0.3),50.40%,1.6,70,30.2,55,29.1,75,0.4,54,0.861,21,2018
Florida State,ACC,7-May,4.4 (-0.6),49.80%,1.4,71,25,97,22.8,37,-0.8,96,0.85,18,2018
Arkansas State,Sun Belt,5-Aug,8.7 (0.7),49.20%,1.2,72,29.9,57,27.9,62,-0.8,98,0.926,75,2018
Marshall,C-USA,4-Sep,9.2 (0.2),48.70%,1,73,22,113,20.5,22,-0.5,88,0.971,124,2018
Georgia Tech,ACC,6-Jul,5.8 (-1.2),46.60%,0.3,74,33,40,33.9,100,1.2,24,0.864,23,2018
UAB,C-USA,3-Nov,10.1 (-0.9),44.90%,-0.3,75,24.1,104,24.4,45,0,68,0.961,114,2018
UCLA,Pac-12,9-Mar,3.3 (0.3),44.70%,-0.4,76,30.7,50,32.4,97,1.3,19,0.844,15,2018
Nevada,MWC,5-Aug,6.5 (-1.5),44.30%,-0.5,77,27.5,83,28,63,0.1,66,0.94,87,2018
Kansas State,Big 12,7-May,5.6 (0.6),44.30%,-0.5,78,27.2,84,27.5,61,-0.2,75,0.863,22,2018
Miami-OH,MAC,6-Jun,5.9 (-0.1),43.60%,-0.7,79,26.2,90,28.4,66,1.5,12,0.966,119,2018
Colorado,Pac-12,7-May,5.4 (0.4),43.60%,-0.7,80,27,85,27.2,58,-0.5,89,0.904,54,2018
Florida Atlantic,C-USA,7-May,6.6 (1.6),43.40%,-0.8,81,30.8,49,29.9,82,-1.8,114,0.931,78,2018
Buffalo,MAC,4-Oct,9.5 (-0.5),42.60%,-1.1,82,31.3,47,29.9,83,-2.5,126,0.974,126,2018
South Florida,AAC,6-Jul,6.7 (-0.3),42.20%,-1.2,83,29.1,69,29.8,80,-0.5,91,0.955,109,2018
Army,Ind,2-Nov,8.1 (-2.9),41.30%,-1.5,84,29.4,65,28.7,70,-2.2,123,0.942,90,2018
Air Force,MWC,7-May,6.1 (1.1),40.50%,-1.8,85,29.2,68,31.2,91,0.2,65,0.945,93,2018
Eastern Michigan,MAC,6-Jul,8.5 (1.5),39.90%,-2,86,25.5,93,26.1,52,-1.5,109,0.97,122,2018
Georgia Southern,Sun Belt,3-Oct,7.9 (-2.1),38.90%,-2.4,87,27.9,78,31.6,92,1.4,17,0.934,82,2018
North Carolina,ACC,9-Feb,3.8 (1.8),38.60%,-2.5,88,29.9,58,31.9,95,-0.5,90,0.926,77,2018
Northern Illinois,MAC,6-Aug,7.4 (-0.6),37.80%,-2.7,89,19.1,117,20.8,23,-1,102,0.939,86,2018
Tulane,AAC,6-Jul,6.6 (-0.4),35.70%,-3.5,90,23.8,106,28.3,65,0.9,35,0.931,79,2018
Middle Tennessee,C-USA,6-Aug,8.3 (0.3),34.90%,-3.8,91,24.4,103,28.7,68,0.5,53,0.919,69,2018
Southern Miss,C-USA,5-Jun,6.2 (0.2),31.80%,-5,92,16.6,122,21.4,27,-0.3,76,0.951,101,2018
SMU,AAC,7-May,4.9 (-0.1),30.70%,-5.4,93,24,105,29.7,79,0.3,62,0.916,64,2018
Louisiana Tech,C-USA,5-Aug,7.1 (-0.9),26.90%,-6.9,94,22,111,27,56,-1.8,116,0.925,74,2018
UL-Lafayette,Sun Belt,7-Jul,7.0 (0.0),26.80%,-6.9,95,30.5,53,38.9,116,1.5,15,0.889,40,2018
Florida International,C-USA,4-Sep,7.4 (-1.6),25.60%,-7.4,96,26.7,86,34.7,105,0.6,46,0.971,123,2018
Illinois,Big Ten,8-Apr,3.9 (-0.1),24.30%,-7.9,97,29.1,70,38.6,115,1.5,13,0.909,60,2018
Louisville,ACC,10-Feb,1.7 (-0.3),21.80%,-9.1,98,24.5,102,33.6,99,0,70,0.844,16,2018
New Mexico,MWC,9-Mar,4.0 (1.0),20.80%,-9.5,99,23.8,107,35.7,109,2.4,4,0.917,66,2018
Kansas,Big 12,9-Mar,2.8 (-0.2),19.90%,-10,100,21.9,114,31.9,94,0,71,0.89,43,2018
Navy,AAC,10-Mar,3.4 (0.4),19.40%,-10.2,101,27.5,82,38.3,114,0.6,48,0.921,70,2018
Colorado State,MWC,9-Mar,3.6 (0.6),19.20%,-10.3,102,27.6,81,36.7,110,-1.2,104,0.918,68,2018
Hawaii,MWC,6-Aug,7.2 (-0.8),19.10%,-10.4,103,29.5,63,39.5,118,-0.4,81,0.941,89,2018
Western Michigan,MAC,6-Jul,6.4 (-0.6),18.40%,-10.7,104,29.8,60,37.4,112,-3.1,130,0.944,92,2018
UL-Monroe,Sun Belt,6-Jun,5.4 (-0.6),18.10%,-10.9,105,26.5,87,35.4,108,-2,119,0.946,96,2018
UNLV,MWC,8-Apr,4.1 (0.1),17.60%,-11.1,106,30.7,51,38.9,117,-2.9,128,0.934,84,2018
Tulsa,AAC,9-Mar,4.4 (1.4),17.50%,-11.2,107,22.9,109,32.3,96,-1.7,113,0.949,99,2018
Rutgers,Big Ten,11-Jan,1.8 (0.8),15.50%,-12.3,108,15,123,28.5,67,1.2,23,0.869,31,2018
Old Dominion,C-USA,8-Apr,4.1 (0.1),12.50%,-14.1,109,24.9,98,39.7,119,0.7,41,0.977,129,2018
East Carolina,AAC,9-Mar,3.8 (0.8),11.30%,-14.9,110,18.3,119,34.2,101,1,33,0.936,85,2018
Oregon State,Pac-12,10-Feb,1.8 (-0.2),9.90%,-16,111,28.8,73,43.4,126,-1.3,107,0.875,32,2018
Massachusetts,Ind,8-Apr,4.0 (0.0),9.70%,-16.1,112,27.8,79,42.2,124,-1.7,112,0.926,76,2018
Western Kentucky,C-USA,9-Mar,4.2 (1.2),9.70%,-16.1,113,17.9,120,31.8,93,-2.2,122,0.968,120,2018
Texas State,Sun Belt,9-Mar,6.1 (3.1),9.40%,-16.4,114,14.9,126,29,73,-2.2,124,0.972,125,2018
San Jose State,MWC,11-Jan,2.0 (1.0),8.50%,-17.1,115,17.3,121,34.7,104,0.2,64,0.923,73,2018
Coastal Carolina,Sun Belt,7-May,3.5 (-1.5),8.30%,-17.2,116,28.1,77,45.7,129,0.4,58,0.952,105,2018
South Alabama,Sun Belt,9-Mar,3.3 (0.3),7.80%,-17.7,117,24.5,101,42,123,-0.3,78,0.946,95,2018
Charlotte,C-USA,7-May,3.6 (-1.4),7.00%,-18.5,118,15,125,33.5,98,0,69,0.963,117,2018
Ball State,MAC,8-Apr,3.1 (-0.9),6.60%,-18.9,119,22.5,110,40.2,120,-1.2,105,0.95,100,2018
Akron,MAC,8-Apr,2.9 (-1.1),6.30%,-19.3,120,11.9,128,31,89,-0.2,73,0.952,104,2018
Liberty,Ind,6-Jun,4.4 (-1.6),5.90%,-19.7,121,25.1,96,41.7,122,-3.1,129,0.947,97,2018
Central Michigan,MAC,11-Jan,2.3 (1.3),5.60%,-20,122,9,130,28.7,69,-0.3,79,0.958,111,2018
New Mexico State,Ind,9-Mar,2.6 (-0.4),5.40%,-20.2,123,19.2,116,38,113,-1.4,108,0.959,112,2018
Kent State,MAC,10-Feb,2.9 (0.9),5.30%,-20.4,124,20.5,115,40.3,121,-0.6,92,0.945,94,2018
Georgia State,Sun Belt,10-Feb,2.8 (0.8),5.30%,-20.4,125,23.6,108,43.6,127,-0.4,84,0.951,103,2018
Bowling Green,MAC,9-Mar,2.4 (-0.6),4.10%,-22,126,24.7,100,43.9,128,-2.8,127,0.965,118,2018
UTSA,C-USA,9-Mar,1.8 (-1.2),4.10%,-22.1,127,11.1,129,34.4,103,1.2,22,0.968,121,2018
Connecticut,AAC,11-Jan,0.4 (-0.6),2.00%,-26.4,128,24.7,99,51.9,130,0.9,37,0.932,81,2018
Rice,C-USA,11-Feb,1.5 (-0.5),2.00%,-26.4,129,15,124,42.5,125,1.1,29,0.948,98,2018
UTEP,C-USA,11-Jan,3.2 (2.2),1.90%,-26.6,130,12.1,127,37.1,111,-1.6,110,0.977,128,2018
Alabama,SEC,13-1,12.2 (-0.8),99.20%,33.5,1,38.7,11,5.6,1,0.4,52,0.842,28,2017
Ohio State,Big Ten,2-Dec,11.5 (-0.5),98.70%,30.9,2,42.9,3,12.8,7,0.9,35,0.828,18,2017
Wisconsin,Big Ten,13-1,11.9 (-1.1),97.20%,26.8,3,37.4,18,11.6,4,1,28,0.873,50,2017
Georgia,SEC,13-2,12.7 (-0.3),97.20%,26.7,4,39.6,7,15.4,12,2.6,3,0.835,23,2017
Clemson,ACC,2-Dec,11.8 (-0.2),97.00%,26.4,5,36.5,20,8.3,2,-1.8,114,0.829,19,2017
Penn State,Big Ten,2-Nov,10.9 (-0.1),96.80%,26,6,41.5,5,14.9,10,-0.6,88,0.86,42,2017
Oklahoma,Big 12,2-Dec,12.1 (0.1),96.50%,25.5,7,49.8,1,24.2,43,-0.1,71,0.843,29,2017
Auburn,SEC,4-Oct,10.3 (0.3),96.00%,24.7,8,35.4,26,11,3,0.2,61,0.767,1,2017
Florida State,ACC,6-Jul,8.0 (1.0),94.70%,22.8,9,33.3,37,12.5,6,2,8,0.808,4,2017
Washington,Pac-12,3-Oct,11.3 (1.3),94.00%,22.1,10,39.4,8,16.3,13,-1.1,105,0.921,71,2017
LSU,SEC,4-Sep,9.4 (0.4),93.10%,21.1,11,35.6,23,14,8,-0.5,86,0.839,26,2017
Notre Dame,Ind,3-Oct,9.5 (-0.5),92.80%,20.8,12,37.4,19,16.9,15,0.2,59,0.834,22,2017
Michigan,Big Ten,5-Aug,8.5 (0.5),91.50%,19.6,13,31.1,49,11.8,5,0.3,58,0.823,14,2017
Louisville,ACC,5-Aug,8.3 (0.3),91.00%,19.2,14,43.3,2,24.9,47,0.8,39,0.869,47,2017
Oklahoma State,Big 12,3-Oct,9.8 (-0.2),90.90%,19.1,15,42.2,4,23,35,-0.1,72,0.88,57,2017
TCU,Big 12,3-Nov,10.3 (-0.7),90.60%,18.9,16,35.7,22,18.7,19,1.9,9,0.858,38,2017
USC,Pac-12,3-Nov,10.7 (-0.3),89.30%,17.9,17,38.5,12,20,24,-0.6,89,0.88,59,2017
Miami-FL,ACC,3-Oct,9.1 (-0.9),88.70%,17.4,18,35.3,27,17,16,-0.9,100,0.838,24,2017
Mississippi State,SEC,4-Sep,9.0 (0.0),86.40%,16,19,32.4,40,18.1,18,1.7,16,0.812,5,2017
Stanford,Pac-12,5-Sep,7.7 (-1.3),86.10%,15.8,20,37.7,16,24.5,44,2.6,2,0.856,35,2017
Virginia Tech,ACC,4-Sep,7.9 (-1.1),83.50%,14.3,21,27.8,71,14.4,9,0.9,31,0.89,61,2017
Central Florida,AAC,13-0,11.9 (-1.1),83.00%,14.1,22,40.5,6,26.9,63,0.4,51,0.953,97,2017
Michigan State,Big Ten,3-Oct,8.7 (-1.3),82.60%,13.8,23,27.7,72,15.1,11,1.2,24,0.819,9,2017
NC State,ACC,4-Sep,8.9 (-0.1),80.60%,12.9,24,38,15,23.3,38,-1.9,116,0.83,21,2017
Utah,Pac-12,6-Jul,8.5 (1.5),78.70%,12,25,30.6,53,20.5,28,1.9,10,0.885,60,2017
Ole Miss,SEC,6-Jun,7.6 (1.6),78.00%,11.6,26,38.9,10,28.8,76,1.6,17,0.839,27,2017
Northwestern,Big Ten,3-Oct,8.0 (-2.0),77.00%,11.2,27,28.8,60,17.4,17,-0.3,77,0.869,46,2017
Missouri,SEC,6-Jul,8.1 (1.1),76.80%,11.1,28,35.5,24,26.4,61,2,7,0.88,56,2017
Kansas State,Big 12,5-Aug,7.2 (-0.8),76.40%,10.9,29,34.4,32,26.1,59,2.6,1,0.872,49,2017
Texas,Big 12,6-Jul,6.5 (-0.5),75.50%,10.6,30,26.7,81,16.3,14,0.2,63,0.853,34,2017
Wake Forest,ACC,5-Aug,7.4 (-0.6),75.30%,10.5,31,35.7,21,25.1,51,0,70,0.827,17,2017
South Florida,AAC,2-Oct,9.8 (-0.2),74.70%,10.2,32,31.6,47,21.2,29,-0.2,73,0.958,106,2017
Indiana,Big Ten,7-May,5.5 (0.5),74.60%,10.2,33,28.6,66,20.2,25,1.8,11,0.821,11,2017
Florida,SEC,7-Apr,5.1 (1.1),74.40%,10.1,34,30.8,51,22.4,33,1.7,15,0.818,7,2017
Iowa,Big Ten,5-Aug,6.9 (-1.1),73.70%,9.8,35,28.4,70,19.4,21,0.8,38,0.819,10,2017
Texas A&M,SEC,6-Jul,5.5 (-1.5),72.60%,9.4,36,33.1,38,25.2,52,1.5,18,0.822,12,2017
Oregon,Pac-12,6-Jul,7.9 (0.9),72.00%,9.1,37,35,28,25.1,50,-0.7,92,0.897,64,2017
Boise State,MWC,3-Nov,10.7 (-0.3),71.80%,9.1,38,28.6,64,20.5,27,1,29,0.957,104,2017
Georgia Tech,ACC,6-May,6.0 (1.0),71.40%,8.9,39,34.9,29,25.1,49,-0.9,103,0.829,20,2017
Washington State,Pac-12,4-Sep,7.5 (-1.5),70.60%,8.6,40,30.9,50,22.1,30,-0.3,79,0.879,55,2017
South Carolina,SEC,4-Sep,7.9 (-1.1),68.50%,7.8,41,28.4,69,19.7,22,-0.8,95,0.853,33,2017
Memphis,AAC,3-Oct,9.0 (-1.0),68.50%,7.8,42,37.6,17,30.6,86,0.7,41,0.94,85,2017
Houston,AAC,5-Jul,7.5 (0.5),68.30%,7.7,43,32.3,43,25.8,57,1.3,22,0.948,94,2017
Iowa State,Big 12,5-Aug,7.5 (-0.5),67.70%,7.5,44,38.2,13,30.7,88,0,68,0.862,43,2017
Toledo,MAC,3-Nov,10.2 (-0.8),65.30%,6.6,45,32.2,45,25.7,54,0.1,64,0.963,111,2017
Duke,ACC,6-Jul,7.0 (0.0),63.90%,6.1,46,25.5,87,19.2,20,-0.2,74,0.873,51,2017
Pittsburgh,ACC,7-May,6.0 (1.0),63.50%,6,47,31.4,48,25,48,-0.4,82,0.85,32,2017
Purdue,Big Ten,6-Jul,8.0 (1.0),62.90%,5.8,48,28.6,63,22.1,32,-0.7,90,0.846,30,2017
West Virginia,Big 12,6-Jul,7.2 (0.2),62.50%,5.6,49,33.6,36,27.2,65,-0.8,93,0.856,36,2017
Florida Atlantic,C-USA,3-Nov,11.1 (0.1),61.00%,5.1,50,34.7,30,31.3,89,1.8,13,0.948,95,2017
UCLA,Pac-12,7-Jun,6.6 (0.6),60.50%,4.9,51,39.3,9,34.5,104,0.1,65,0.867,45,2017
Texas Tech,Big 12,7-Jun,6.9 (0.9),60.10%,4.8,52,34.4,33,28.3,70,-1.3,109,0.857,37,2017
Boston College,ACC,6-Jul,7.0 (0.0),59.50%,4.6,53,25.2,89,19.9,23,-0.7,91,0.823,15,2017
San Diego State,MWC,3-Oct,8.4 (-1.6),59.30%,4.5,54,28.5,68,24.8,45,0.9,36,0.957,103,2017
North Carolina,ACC,9-Mar,3.9 (0.9),58.60%,4.3,55,29.3,58,25.9,58,0.9,33,0.862,44,2017
Syracuse,ACC,8-Apr,3.4 (-0.6),57.70%,4,56,29.3,57,27.3,66,2,6,0.816,6,2017
Colorado State,MWC,6-Jul,8.0 (1.0),57.30%,3.9,57,34.6,31,32.7,97,2,5,0.925,74,2017
Appalachian State,Sun Belt,4-Sep,9.0 (0.0),57.10%,3.8,58,29.5,55,24.8,46,-0.9,99,0.945,92,2017
Arizona,Pac-12,6-Jul,7.7 (0.7),57.00%,3.7,59,38.1,14,33.9,101,-0.5,85,0.913,67,2017
Ohio,MAC,4-Sep,9.8 (0.8),55.70%,3.3,60,32.2,44,30.6,87,1.7,14,0.974,123,2017
Kentucky,SEC,6-Jul,5.1 (-1.9),54.00%,2.7,61,30.8,52,29.5,80,1.5,19,0.859,40,2017
Nebraska,Big Ten,8-Apr,3.7 (-0.3),53.40%,2.5,62,25.6,85,23.7,40,0.6,46,0.822,13,2017
Arkansas,SEC,8-Apr,4.5 (0.5),52.00%,2.1,63,34.1,34,31.8,91,-0.2,75,0.798,3,2017
Colorado,Pac-12,7-May,4.7 (-0.3),51.70%,2,64,30.3,54,30.1,84,1.8,12,0.897,65,2017
Troy,Sun Belt,2-Nov,8.9 (-2.1),50.60%,1.6,65,27.5,73,23.5,39,-2.4,125,0.953,98,2017
Arkansas State,Sun Belt,5-Jul,8.6 (1.6),50.20%,1.5,66,29.3,56,28.6,74,0.8,40,0.982,129,2017
Tennessee,SEC,8-Apr,3.6 (-0.4),49.40%,1.2,67,25.8,83,25.7,55,1.1,26,0.827,16,2017
Arizona State,Pac-12,6-Jul,5.0 (-2.0),48.80%,1,68,33.9,35,33.1,99,0.2,60,0.873,52,2017
Virginia,ACC,7-Jun,5.9 (-0.1),48.30%,0.8,69,25,91,23.3,37,-0.9,96,0.876,53,2017
Vanderbilt,SEC,7-May,5.3 (0.3),47.70%,0.6,70,32.3,41,29,79,-2.6,128,0.838,25,2017
Temple,AAC,6-Jul,7.4 (0.4),47.20%,0.5,71,25.1,90,24.1,42,-0.5,87,0.925,76,2017
Minnesota,Big Ten,7-May,5.4 (0.4),47.00%,0.4,72,23.9,100,22.1,31,-1.4,110,0.877,54,2017
Navy,AAC,6-Jul,6.2 (-0.8),43.50%,-0.7,73,32.5,39,32.1,93,-1.2,106,0.917,69,2017
California,Pac-12,7-May,4.6 (-0.4),42.90%,-1,74,28.7,62,29.9,82,0.3,57,0.87,48,2017
Northern Illinois,MAC,5-Aug,8.0 (0.0),41.60%,-1.4,75,21,112,20.5,26,-1.9,119,0.964,113,2017
Baylor,Big 12,11-Jan,2.6 (1.6),41.50%,-1.4,76,26.9,78,29,77,0.6,45,0.858,39,2017
Miami-OH,MAC,7-May,7.5 (2.5),39.30%,-2.2,77,24.2,96,26.9,64,0.6,47,0.957,105,2017
Western Michigan,MAC,6-Jun,6.3 (0.3),38.80%,-2.4,78,25.7,84,28.4,73,0.4,53,0.945,90,2017
Wyoming,MWC,5-Aug,7.5 (-0.5),38.40%,-2.5,79,19.7,115,23.1,36,0.9,32,0.954,100,2017
UTSA,C-USA,5-Jun,6.8 (0.8),38.40%,-2.5,80,18.7,119,22.5,34,1.3,23,0.985,130,2017
Fresno State,MWC,4-Oct,9.4 (-0.6),37.80%,-2.7,81,22.3,106,25.5,53,0.5,49,0.895,63,2017
SMU,AAC,6-Jul,6.6 (-0.4),37.30%,-2.9,82,35.4,25,37.4,113,-0.9,98,0.926,77,2017
Utah State,MWC,7-Jun,7.0 (1.0),36.00%,-3.3,83,24.4,95,28,67,0.3,56,0.927,78,2017
Southern Miss,C-USA,5-Aug,7.9 (-0.1),35.80%,-3.4,84,24.9,92,28.3,71,0,69,0.979,128,2017
Marshall,C-USA,5-Aug,7.5 (-0.5),32.80%,-4.5,85,19.4,116,23.9,41,0.1,66,0.962,110,2017
Maryland,Big Ten,8-Apr,3.9 (-0.1),32.80%,-4.5,86,26.7,80,28.3,72,-2.9,130,0.781,2,2017
North Texas,C-USA,5-Sep,8.5 (-0.5),32.70%,-4.5,87,28.6,65,34.3,103,1.2,25,0.964,114,2017
